ds,y,Open,High,Low,Volume,Chg%
2019-12-09,37747,37900,38215,37662,41660,-0.57
2019-12-11,37740,37650,37800,37542,12900,0.14
2019-12-12,37559,37749,38044,37500,22610,-0.36
2020-01-01,38938,38980,39067,38900,120,-0.16
2020-01-02,41099,41249,41315,40901,7330,0.21
2020-01-04,43578,42854,43645,42800,50,0.82
2020-01-05,45251,44703,45380,44441,310,1.35
2020-01-06,47018,46900,47299,46702,2009,0.34
2020-01-07,48400,48986,49020,48251,330,-0.94
2020-01-09,51017,51533,51708,50966,1490,-0.16
2020-01-10,50345,50299,50465,50169,110,0.22
2020-01-12,48641,48200,48937,47809,360,1.55
2020-02-01,39220,38953,39685,38905,250,0.72
2020-02-03,42017,43014,43014,41689,310,0.61
2020-02-06,46796,47090,47375,46753,220,-0.47
2020-02-07,48437,48340,48529,47970,90,0.08
2020-02-09,50577,51035,51160,50500,100,-0.86
2020-02-11,51032,50715,51068,50582,700,0.77
2020-02-12,48959,48630,49080,48377,380,0.65
2020-03-01,39925,39520,40002,39486,210,1.8
2020-03-02,40633,41178,41178,40590,190,-1.13
2020-03-03,43100,42050,43277,41960,70,2.58
2020-03-04,44298,44190,44400,43860,80,1.65
2020-03-06,46203,46750,46851,46150,180,-1.27
2020-03-07,48336,49304,49304,48100,70,-0.21
2020-03-08,53927,53988,53988,53600,150,0.64
2020-03-09,50768,50755,51022,50502,350,0.38
2020-03-11,51509,51029,51572,50737,320,0.93
2020-03-12,49061,49210,49334,48881,650,0.21
2020-04-02,40056,40618,40839,39750,100,-1.42
2020-04-03,43235,43100,43649,43006,90,0.31
2020-04-05,45762,45403,46090,45349,490,1.13
2020-04-06,46781,46399,47125,46235,80,1.25
2020-04-08,54784,54094,54950,53641,110,1.59
2020-04-09,50728,50980,50980,50501,140,-0.08
2020-04-11,50829,51375,51455,50790,930,-1.32
2020-04-12,49322,49054,49606,47651,110,0.53
2020-05-02,40213,40690,40700,40100,40,0.39
2020-05-03,43874,43050,44255,43050,370,1.48
2020-05-05,45539,45400,45590,44768,230,-0.49
2020-05-06,46346,46750,46805,46100,60,-0.93
2020-05-08,55597,54900,55949,54701,40,1.48
2020-05-10,50809,50001,50871,50001,140,0.92
2020-05-11,51901,51115,52079,51035,380,2.11
2020-06-01,40448,40250,41049,40250,33170,1.31
2020-06-02,40287,40043,40345,39972,15610,0.18
2020-06-03,44098,44200,44881,43407,76250,0.51
2020-06-05,45387,45700,45850,45330,37990,-0.33
2020-06-07,48247,47976,48300,47830,36250,-0.18
2020-06-08,56117,55405,56199,55400,45660,0.94
2020-06-10,50617,50637,51058,50527,29170,-0.38
2020-06-11,52190,51900,52490,51762,36600,0.56
2020-07-01,40635,40280,40666,40181,27470,0.46
2020-07-02,40563,40345,40633,40232,19970,0.69
2020-07-04,45043,44000,46299,44000,20590,1.68
2020-07-05,46147,45450,46222,45355,40800,1.67
2020-07-07,48796,48200,48829,48110,44010,1.14
2020-07-08,55018,56351,56499,54925,53590,-1.96
2020-07-09,51149,50855,51284,50789,21050,0.83
2020-07-10,50133,50346,50437,49910,34580,-0.96
2020-07-12,49923,49376,49991,48867,31170,1.22
2020-08-01,40078,40792,41270,39893,47710,-1.37
2020-08-04,44944,44762,45000,44650,12640,-0.22
2020-08-05,45820,46050,46343,45751,53030,-0.71
2020-08-06,46110,45800,46175,45772,39330,-0.51
2020-08-07,49160,48701,49317,48635,42550,0.75
2020-08-09,51433,51000,51498,50714,44490,0.56
2020-08-10,50239,50115,50470,50000,29790,0.21
2020-08-12,50049,50100,50122,49710,26650,0.25
2020-09-01,39806,40165,40165,39594,27520,-0.68
2020-09-03,44308,44200,44740,43829,61170,0.48
2020-09-04,45279,44970,45330,44802,13160,0.75
2020-09-06,46595,46070,46666,45962,41710,1.05
2020-09-07,48896,49095,49298,48780,46250,-0.54
2020-09-09,51486,51250,51536,50968,33440,0.1
2020-09-10,50872,50400,50988,50400,30470,1.26
2020-09-11,49795,52300,52530,49526,68550,-4.59
2020-09-12,49256,49961,49961,49124,32650,-1.58
2020-10-01,39849,39721,39888,39550,26620,0.11
2020-10-02,40607,40533,40635,40451,13040,0.11
2020-10-03,43694,44280,44280,43511,23910,-1.39
2020-10-06,46629,46614,46923,46502,34600,0.07
2020-10-07,48883,48900,49217,48731,38450,-0.03
2020-10-08,55243,54900,55660,54900,35600,0.41
2020-10-09,51832,51426,51889,51315,33930,0.67
2020-10-11,50561,50150,50665,50150,36310,1.54
2020-10-12,49081,49256,49470,48968,27640,-0.36
2020-11-02,40353,40510,40510,40243,17790,-0.63
2020-11-03,43334,43690,43838,43270,35130,-0.82
2020-11-05,45785,45842,45980,45609,39590,-0.08
2020-11-06,47405,46767,47630,46767,53470,1.66
2020-11-08,52144,55150,55150,51929,80850,-5.61
2020-11-09,51393,51557,51739,51305,29230,-0.85
2020-11-11,50230,50542,50580,50010,31070,-0.65
2020-11-12,49306,49102,49395,48903,26230,0.46
2020-12-02,40427,40352,40464,40251,14130,0.18
2020-12-03,42217,43311,43615,41601,75050,-2.58
2020-12-05,45635,45821,45970,45551,37850,-0.33
2020-12-06,47325,47400,47493,47073,40800,-0.17
2020-12-08,52505,50680,52840,50026,92180,0.69
2020-12-10,51166,51000,51238,50984,21900,0.58
2020-12-11,50652,50352,50847,50272,27720,0.84
2021-01-01,50081,50123,50202,50003,50,0.0
2021-01-02,48424,49298,49438,47425,3140,-1.4
2021-01-03,45021,46187,46188,44910,5190,-1.2
2021-01-04,44957,44500,45002,44500,150,1.21
2021-01-06,48935,48975,49210,48800,890,0.26
2021-01-07,46985,46882,47999,46837,120,0.36
2021-01-09,47093,47060,47599,46964,60,0.07
2021-01-10,46315,46303,46360,46125,190,0.2
2021-01-11,47692,47649,47850,47510,100,0.4
2021-01-12,47525,47488,47625,47429,30,0.18
2021-02-02,47752,48344,48344,47531,380,-1.39
2021-02-03,45224,44945,45431,44873,320,0.45
2021-02-06,49108,48963,49145,48948,80,0.35
2021-02-07,47286,47200,47553,47200,200,0.64
2021-02-08,47937,48094,48172,47720,170,0.08
2021-02-09,47048,47142,47243,46929,20,-0.1
2021-02-11,47683,47866,47939,47600,20,-0.02
2021-02-12,47307,47450,47465,47150,280,-0.46
2021-03-02,47703,47890,47925,47639,190,-0.1
2021-03-03,44721,45267,45267,44472,30,-1.11
2021-03-05,46963,46849,47000,46618,120,1.15
2021-03-06,48293,49309,49309,48213,150,-1.66
2021-03-08,47854,47820,48168,47760,70,-0.17
2021-03-09,47342,47299,47500,47295,10,0.62
2021-03-11,46961,47550,47550,46839,40,-1.51
2021-03-12,47425,47280,47427,47243,60,0.25
2021-04-01,51349,50715,51493,50654,150,2.53
2021-04-02,46695,47050,47575,46501,140,-2.11
2021-04-03,44581,44686,44686,44370,10,-0.31
2021-04-05,46782,46890,46943,46500,30,-0.39
2021-04-06,48650,48321,48765,48200,220,0.74
2021-04-08,47872,47950,48300,47739,40,0.04
2021-04-10,46618,46299,46640,46209,50,0.65
2021-04-11,47559,47147,47592,47147,5710,1.27
2021-05-01,51456,51334,51549,51202,150,0.21
2021-05-02,46978,46602,47100,46601,30,0.61
2021-05-03,44442,44279,44499,44188,50,-0.31
2021-05-04,44985,44918,45050,44805,310,0.06
2021-05-05,46591,46680,46692,46500,50,-0.41
2021-05-07,47567,47800,48704,47075,30,0.59
2021-05-08,47959,47870,48199,47790,30,0.18
2021-05-10,46459,46556,46557,46345,20,-0.34
2021-05-11,47959,47520,47990,47315,13760,0.84
2021-06-01,50545,51564,51857,50468,47140,-1.77
2021-06-04,45685,45257,45730,45250,17870,1.56
2021-06-05,47536,47019,47573,46980,29120,2.03
2021-06-07,47694,47418,47971,47418,22960,0.27
2021-06-08,46682,47550,47571,46621,23200,-2.66
2021-06-09,47450,47534,47534,47402,5740,0.23
2021-06-10,46781,46550,46874,46451,14920,0.69
2021-06-12,47787,47800,47882,47711,8500,0.76
2021-07-01,50918,50632,51045,50632,28490,0.74
2021-07-04,46128,45600,46180,45518,21450,0.97
2021-07-05,47719,47540,47990,47512,31360,0.38
2021-07-06,48911,48767,48936,48590,10910,0.54
2021-07-07,47887,47779,47963,47669,13920,0.4
2021-07-09,46989,47469,47469,46910,16580,-0.97
2021-07-10,46737,46747,46869,46612,11490,-0.09
2021-07-12,47922,47840,48030,47594,12770,0.28
2021-08-01,49035,50818,50824,48855,58390,-3.7
2021-08-02,47726,47147,47828,47064,29170,1.59
2021-08-03,44233,44720,44775,44163,29840,-0.47
2021-08-04,46576,46041,46620,46015,21420,0.97
2021-08-06,48908,48882,49120,48732,15280,-0.01
2021-08-07,47735,47814,48244,47650,25700,-0.32
2021-08-09,47072,47047,47170,46800,12500,0.18
2021-08-10,46922,46740,47225,46702,19610,0.4
2021-08-11,48025,48000,48144,47821,14860,0.14
2021-08-12,47900,47995,48125,47830,10880,-0.05
2021-09-02,47818,47850,48061,47651,27330,0.19
2021-09-03,44844,44299,44918,44280,29790,1.38
2021-09-04,46344,46458,46674,46085,21980,-0.5
2021-09-06,48904,48911,49036,48827,10270,-0.01
2021-09-07,47898,47798,47922,47621,15170,0.34
2021-09-08,45949,46600,46600,45860,21360,-1.57
2021-09-09,47021,46984,47128,46770,14580,-0.11
2021-09-11,48263,48034,48280,47981,15130,0.5
2021-09-12,47802,47900,48000,47723,9800,-0.2
2021-10-02,47863,47930,48136,47711,27630,0.09
2021-10-03,44774,44750,44920,44636,22090,-0.16
2021-10-05,47925,47849,48083,47726,21580,0.43
2021-10-06,48975,48829,49015,48502,20510,0.15
2021-10-08,45936,46089,46148,45708,16300,-0.03
2021-10-09,46858,46987,47030,46810,6110,-0.35
2021-10-11,48857,48250,49244,48166,27480,1.23
2021-10-12,47993,47831,48088,47723,11580,0.4
2021-11-01,49386,48835,49435,48578,34630,0.72
2021-11-02,47377,47742,47950,47333,24860,-1.02
2021-11-03,44876,44950,45135,44785,15840,0.23
2021-11-05,47625,47906,47986,47351,29710,-0.63
2021-11-06,48717,49016,49145,48681,17040,-0.53
2021-11-08,46351,46029,46396,45915,15300,0.9
2021-11-10,46941,46910,47090,46750,10000,0.04
2021-11-11,49208,48983,49349,48900,15050,0.72
2021-12-01,49098,49333,49620,49000,28650,-0.58
2021-12-02,47169,47670,47670,47012,30720,-0.44
2021-12-03,44737,44740,44779,44310,32180,-0.31
2021-12-04,46188,46333,46514,46162,18010,-0.34
2021-12-05,47491,47555,47838,47400,25670,-0.28
2021-12-07,47768,47750,47849,47503,17040,-0.27
2021-12-08,46335,46288,46518,46160,12510,-0.03
2021-12-10,47097,47025,47280,46941,14250,0.33
2021-12-11,49277,49087,49300,48872,16510,0.14
2022-01-02,47966,48509,48509,47501,450,0.26
2022-01-03,51565,51168,51696,50843,500,2.05
2022-01-04,51264,51531,51605,51200,200,-0.71
2022-01-06,50504,50650,50849,50317,150,-0.82
2022-01-07,52227,51520,53675,51188,150,2.97
2022-01-08,51260,51899,51899,51023,1350,-0.2
2022-01-09,50169,50280,50351,49990,150,-0.69
2022-01-11,50250,50094,50450,50093,190,0.36
2022-01-12,53339,52768,53593,52723,280,1.73
2022-02-02,48049,48151,48151,47915,630,0.17
2022-02-03,51133,51684,51811,51020,220,-0.84
2022-02-05,50831,51201,51920,50575,690,-1.89
2022-02-06,51078,50900,51296,50900,10,1.14
2022-02-08,51274,51438,51527,51100,230,0.03
2022-02-09,50313,50275,50390,50275,0,0.29
2022-02-11,50414,50376,50740,50346,350,0.33
2022-02-12,53346,53246,53544,53130,140,0.01
2022-03-01,47473,47940,48100,47327,210,-1.09
2022-03-02,47884,47980,48070,47500,70,-0.34
2022-03-03,51569,51351,51725,51250,40,0.85
2022-03-05,51022,52300,52300,50660,80,0.38
2022-03-06,51287,52030,52030,51030,40,0.41
2022-03-08,51216,51250,51375,51137,70,-0.11
2022-03-10,50245,50120,50550,50088,10,0.43
2022-03-11,49876,50185,50217,49815,50,-1.07
2022-04-01,47763,47730,47842,47402,80,0.61
2022-04-02,48081,48009,48900,47953,30,0.41
2022-04-03,52274,51752,52448,51366,120,1.37
2022-04-04,51229,51209,51306,50950,190,-0.07
2022-04-05,50836,50882,50970,50804,30,-0.36
2022-04-07,51808,52597,52597,51421,130,-0.8
2022-04-08,51802,51713,51903,51713,10,1.14
2022-04-10,51127,50801,51698,50800,10,1.76
2022-04-11,50615,50048,50650,50048,110,1.48
2022-05-01,47974,47924,48099,47872,90,0.44
2022-05-04,51619,51300,52200,51127,340,0.76
2022-05-05,51653,51699,51900,51240,10,1.61
2022-05-07,52238,52766,52766,51999,20,0.83
2022-05-08,51641,51935,51965,51525,60,-0.31
2022-05-09,50604,50900,50900,50300,0,0.58
2022-05-10,51361,51263,51390,51115,6570,0.46
2022-05-12,53300,53646,53735,53000,160,-0.09
2022-06-01,47499,48030,48030,47450,18240,-0.99
2022-06-04,51433,51339,51645,51158,13160,-0.36
2022-06-05,51381,50953,51543,50953,14580,-0.53
2022-06-06,50871,51087,51120,50820,7550,-0.81
2022-06-07,50581,51448,51595,50515,18620,-3.17
